   882589.65    -4924872.32     3943729.348    1  GBT XYZ             1  GB
  422333.2      722040.4         306.             QUABBIN             2  QU
  2390490.0     -5564764.0      1994727.0      1  ARECIBO XYZ (JPL)   3  AO
  -424818.0     -1472621.0      50.0              Hobart, Tasmania    4  HO
  402047.7      743853.85         43.             PRINCETON           5  PR
 -1601192.     -5041981.4       3554871.4      1  VLA XYZ             6  VL
 -4554231.5     2816759.1       -3454036.3     1  PARKES  XYZ (JER)   7  PK
 3822252.643   -153995.683      5086051.443    1  JODRELL BANK MkIA   8  JB
  382546.30     795056.36        893.7            GB 300FT            9  G3
  382615.409    795009.613       880.87           GB 140FT            a  G1
  382545.90     795036.87        835.8            GB 85-3             b  G8
  340443.497   1073703.819      2124.             VLA SITE            c  V2
  443118.48    -113848.48         25.             NORTHERN CROSS      d  BO
 -352219.00    -1492525.00       500.0            MOST                e  MO
 4324165.81     165927.11       4670132.83     1  Nancay              f  NC
 4033949.5      486989.4        4900430.8      1  Effelsberg          g  EF
 3822473.365   -153692.318      5085851.303    1  JODRELL BANK mkii   h  JB
 3828445.659    445223.600      5064921.5677   1  WSRT                i  WB
 -333407.0     -1504438.5        70.0             NRARAO              j  NR
  503410.00    -064319.00        435.0            Stockert            k  ST
  355615.0     1060230.0         200.0            K5SO                l  K5
 -345159.0      580823.5          10.             IAR1                m  A1
 -345202.9      580823.4          10.             IAR2                o  A2
 -345159.0      580823.5          10.             IAR1R               r  R1
 -345202.9      580823.4          10.             IAR2R               s  R2
 -354633.1      692353.7         800.             DSA3                p  D3
 -381129.1      700858.4         800.             CLTC                q  CL
 3826577.462   461022.624       5064892.526    1  LOFAR               t  LF
